TrialID,BlockCount,CueOnStimIndices,CueOnStimLocations,TargetOnStimIndices,TargetOnStimLocations,Rule
RSM1_51,2,"[22,23]","[[-1,0,0],[1,0,0]]","[22,22]","[[-2.25,2,0],[-1.75,2,0]]",RA
RSM1_52,2,"[16,17]","[[-1,0,0],[1,0,0]]","[17,16]","[[-2.25,-2,0],[-1.75,-2,0]]",RC
RSM1_53,2,"[0,1]","[[-1,0,0],[1,0,0]]","[1,0]","[[-2.25,0,0],[-1.75,0,0]]",RC
RSM1_54,2,"[2,3]","[[-1,0,0],[1,0,0]]","[2,3]","[[-0.25,2,0],[0.25,2,0]]",RB
RSM1_55,2,"[9,10]","[[-1,0,0],[1,0,0]]","[9,9]","[[-2.25,2,0],[-1.75,2,0]]",RA
RSM1_56,2,"[8,9]","[[-1,0,0],[1,0,0]]","[8,9]","[[-2.25,-2,0],[-1.75,-2,0]]",RB
RSM1_57,2,"[23,0]","[[-1,0,0],[1,0,0]]","[23,23]","[[-2.25,0,0],[-1.75,0,0]]",RA
RSM1_58,2,"[7,8]","[[-1,0,0],[1,0,0]]","[8,7]","[[-0.25,2,0],[0.25,2,0]]",RC
RSM1_59,2,"[15,16]","[[-1,0,0],[1,0,0]]","[15,15]","[[-2.25,2,0],[-1.75,2,0]]",RA
RSM1_60,2,"[18,19]","[[-1,0,0],[1,0,0]]","[19,18]","[[-2.25,-2,0],[-1.75,-2,0]]",RC
RSM1_61,2,"[16,17]","[[-1,0,0],[1,0,0]]","[16,17]","[[-2.25,0,0],[-1.75,0,0]]",RB
RSM1_62,2,"[19,20]","[[-1,0,0],[1,0,0]]","[19,20]","[[-0.25,2,0],[0.25,2,0]]",RB
RSM1_63,2,"[3,4]","[[-1,0,0],[1,0,0]]","[3,3]","[[-2.25,2,0],[-1.75,2,0]]",RA
RSM1_64,2,"[22,23]","[[-1,0,0],[1,0,0]]","[23,22]","[[-2.25,-2,0],[-1.75,-2,0]]",RC
RSM1_65,2,"[13,14]","[[-1,0,0],[1,0,0]]","[13,13]","[[-2.25,0,0],[-1.75,0,0]]",RA
RSM1_66,2,"[13,14]","[[-1,0,0],[1,0,0]]","[14,13]","[[-0.25,2,0],[0.25,2,0]]",RC
RSM1_67,2,"[23,0]","[[-1,0,0],[1,0,0]]","[23,0]","[[-2.25,2,0],[-1.75,2,0]]",RB
RSM1_68,2,"[10,11]","[[-1,0,0],[1,0,0]]","[10,11]","[[-2.25,-2,0],[-1.75,-2,0]]",RB
RSM1_69,2,"[1,2]","[[-1,0,0],[1,0,0]]","[2,1]","[[-2.25,0,0],[-1.75,0,0]]",RC
RSM1_70,2,"[21,22]","[[-1,0,0],[1,0,0]]","[21,22]","[[-0.25,2,0],[0.25,2,0]]",RB
RSM1_71,2,"[18,19]","[[-1,0,0],[1,0,0]]","[18,18]","[[-2.25,2,0],[-1.75,2,0]]",RA
RSM1_72,2,"[16,17]","[[-1,0,0],[1,0,0]]","[16,16]","[[-2.25,-2,0],[-1.75,-2,0]]",RA
