TrialID,BlockCount,CueOnStimIndices,CueOnStimLocations,TargetOnStimIndices,TargetOnStimLocations,WrongTargetOnStimIndices,WrongTargetOnStimLocations,Rule1StimIndices
RSM1_26,1,"[12,4]","[[-1,0,0],[1,0,0]]","[12,12]","[[-0.25,2,0],[0.25,2,0]]","[4,12]","[[-0.25,-2,0],[0.25,-2,0]]",[1]
RSM1_27,1,"[10,2]","[[-1,0,0],[1,0,0]]","[2,10]","[[-2.25,2,0],[-1.75,2,0]]","[10,10]","[[1.75,-2,0],[2.25,-2,0]]",[3]
RSM1_28,1,"[1,19]","[[-1,0,0],[1,0,0]]","[1,19]","[[-2.25,-2,0],[-1.75,-2,0]]","[19,1]","[[1.75,2,0],[2.25,2,0]]",[2]
RSM1_29,1,"[15,8]","[[-1,0,0],[1,0,0]]","[15,15]","[[1.75,0,0],[2.25,0,0]]","[15,8]","[[-2.25,0,0],[-1.75,0,0]]",[1]
RSM1_30,1,"[2,0]","[[-1,0,0],[1,0,0]]","[2,0]","[[-0.25,-2,0],[0.25,-2,0]]","[0,2]","[[-0.25,2,0],[0.25,2,0]]",[2]
RSM1_31,1,"[0,7]","[[-1,0,0],[1,0,0]]","[0,0]","[[1.75,-2,0],[2.25,-2,0]]","[0,7]","[[-2.25,2,0],[-1.75,2,0]]",[1]
RSM1_32,1,"[12,4]","[[-1,0,0],[1,0,0]]","[12,4]","[[1.75,2,0],[2.25,2,0]]","[4,12]","[[-2.25,-2,0],[-1.75,-2,0]]",[2]
RSM1_33,1,"[13,17]","[[-1,0,0],[1,0,0]]","[13,13]","[[-2.25,0,0],[-1.75,0,0]]","[13,17]","[[1.75,0,0],[2.25,0,0]]",[1]
RSM1_34,1,"[9,5]","[[-1,0,0],[1,0,0]]","[5,9]","[[-0.25,2,0],[0.25,2,0]]","[9,5]","[[-0.25,-2,0],[0.25,-2,0]]",[3]
RSM1_35,1,"[20,23]","[[-1,0,0],[1,0,0]]","[23,20]","[[-2.25,2,0],[-1.75,2,0]]","[20,20]","[[1.75,-2,0],[2.25,-2,0]]",[3]
RSM1_36,1,"[22,14]","[[-1,0,0],[1,0,0]]","[14,22]","[[-2.25,-2,0],[-1.75,-2,0]]","[22,14]","[[1.75,2,0],[2.25,2,0]]",[3]
RSM1_37,2,"[21,10]","[[-1,0,0],[1,0,0]]","[21,21]","[[1.75,0,0],[2.25,0,0]]","[21,10]","[[-2.25,0,0],[-1.75,0,0]]",[1]
RSM1_38,2,"[3,21]","[[-1,0,0],[1,0,0]]","[21,3]","[[-0.25,-2,0],[0.25,-2,0]]","[3,21]","[[-0.25,2,0],[0.25,2,0]]",[3]
RSM1_39,2,"[4,9]","[[-1,0,0],[1,0,0]]","[9,4]","[[1.75,-2,0],[2.25,-2,0]]","[4,4]","[[-2.25,2,0],[-1.75,2,0]]",[3]
RSM1_40,2,"[15,8]","[[-1,0,0],[1,0,0]]","[15,8]","[[1.75,2,0],[2.25,2,0]]","[8,15]","[[-2.25,-2,0],[-1.75,-2,0]]",[2]
RSM1_41,2,"[0,7]","[[-1,0,0],[1,0,0]]","[7,0]","[[-2.25,0,0],[-1.75,0,0]]","[0,0]","[[1.75,0,0],[2.25,0,0]]",[3]
RSM1_42,2,"[18,15]","[[-1,0,0],[1,0,0]]","[18,18]","[[-0.25,2,0],[0.25,2,0]]","[15,18]","[[-0.25,-2,0],[0.25,-2,0]]",[1]
RSM1_43,2,"[20,23]","[[-1,0,0],[1,0,0]]","[20,20]","[[-2.25,2,0],[-1.75,2,0]]","[20,23]","[[1.75,-2,0],[2.25,-2,0]]",[1]
RSM1_44,2,"[23,12]","[[-1,0,0],[1,0,0]]","[12,23]","[[-2.25,-2,0],[-1.75,-2,0]]","[23,12]","[[1.75,2,0],[2.25,2,0]]",[3]
RSM1_45,2,"[22,14]","[[-1,0,0],[1,0,0]]","[22,14]","[[1.75,0,0],[2.25,0,0]]","[22,22]","[[-2.25,0,0],[-1.75,0,0]]",[2]
RSM1_46,2,"[0,7]","[[-1,0,0],[1,0,0]]","[0,7]","[[-0.25,-2,0],[0.25,-2,0]]","[7,0]","[[-0.25,2,0],[0.25,2,0]]",[2]
RSM1_47,2,"[5,16]","[[-1,0,0],[1,0,0]]","[5,16]","[[1.75,-2,0],[2.25,-2,0]]","[5,5]","[[-2.25,2,0],[-1.75,2,0]]",[2]
RSM1_48,2,"[7,22]","[[-1,0,0],[1,0,0]]","[7,7]","[[1.75,2,0],[2.25,2,0]]","[22,7]","[[-2.25,-2,0],[-1.75,-2,0]]",[1]
RSM1_49,2,"[2,0]","[[-1,0,0],[1,0,0]]","[2,2]","[[-2.25,0,0],[-1.75,0,0]]","[2,0]","[[1.75,0,0],[2.25,0,0]]",[1]
RSM1_50,2,"[16,11]","[[-1,0,0],[1,0,0]]","[16,11]","[[-0.25,2,0],[0.25,2,0]]","[11,16]","[[-0.25,-2,0],[0.25,-2,0]]",[2]
RSM1_51,2,"[20,23]","[[-1,0,0],[1,0,0]]","[20,23]","[[-2.25,2,0],[-1.75,2,0]]","[20,20]","[[1.75,-2,0],[2.25,-2,0]]",[2]
RSM1_52,2,"[17,18]","[[-1,0,0],[1,0,0]]","[18,17]","[[-2.25,-2,0],[-1.75,-2,0]]","[17,18]","[[1.75,2,0],[2.25,2,0]]",[3]
RSM1_53,2,"[4,9]","[[-1,0,0],[1,0,0]]","[4,4]","[[1.75,0,0],[2.25,0,0]]","[4,9]","[[-2.25,0,0],[-1.75,0,0]]",[1]
RSM1_54,2,"[11,1]","[[-1,0,0],[1,0,0]]","[11,11]","[[-0.25,-2,0],[0.25,-2,0]]","[1,11]","[[-0.25,2,0],[0.25,2,0]]",[1]
RSM1_55,2,"[15,8]","[[-1,0,0],[1,0,0]]","[8,15]","[[1.75,-2,0],[2.25,-2,0]]","[15,15]","[[-2.25,2,0],[-1.75,2,0]]",[3]
RSM1_56,2,"[19,13]","[[-1,0,0],[1,0,0]]","[13,19]","[[1.75,2,0],[2.25,2,0]]","[19,13]","[[-2.25,-2,0],[-1.75,-2,0]]",[3]
RSM1_57,2,"[9,5]","[[-1,0,0],[1,0,0]]","[9,9]","[[-2.25,0,0],[-1.75,0,0]]","[9,5]","[[1.75,0,0],[2.25,0,0]]",[1]
RSM1_58,2,"[14,20]","[[-1,0,0],[1,0,0]]","[14,14]","[[-0.25,2,0],[0.25,2,0]]","[20,14]","[[-0.25,-2,0],[0.25,-2,0]]",[1]
RSM1_59,2,"[13,17]","[[-1,0,0],[1,0,0]]","[17,13]","[[-2.25,2,0],[-1.75,2,0]]","[13,13]","[[1.75,-2,0],[2.25,-2,0]]",[3]
RSM1_60,2,"[14,20]","[[-1,0,0],[1,0,0]]","[20,14]","[[-2.25,-2,0],[-1.75,-2,0]]","[14,20]","[[1.75,2,0],[2.25,2,0]]",[3]
RSM1_61,2,"[8,6]","[[-1,0,0],[1,0,0]]","[6,8]","[[1.75,0,0],[2.25,0,0]]","[8,8]","[[-2.25,0,0],[-1.75,0,0]]",[3]
RSM1_62,2,"[7,22]","[[-1,0,0],[1,0,0]]","[7,22]","[[-0.25,-2,0],[0.25,-2,0]]","[22,7]","[[-0.25,2,0],[0.25,2,0]]",[2]
RSM1_63,2,"[8,6]","[[-1,0,0],[1,0,0]]","[8,8]","[[1.75,-2,0],[2.25,-2,0]]","[8,6]","[[-2.25,2,0],[-1.75,2,0]]",[1]
RSM1_64,2,"[10,2]","[[-1,0,0],[1,0,0]]","[10,2]","[[1.75,2,0],[2.25,2,0]]","[2,10]","[[-2.25,-2,0],[-1.75,-2,0]]",[2]
RSM1_65,2,"[16,11]","[[-1,0,0],[1,0,0]]","[11,16]","[[-2.25,0,0],[-1.75,0,0]]","[16,16]","[[1.75,0,0],[2.25,0,0]]",[3]
RSM1_66,2,"[18,15]","[[-1,0,0],[1,0,0]]","[15,18]","[[-0.25,2,0],[0.25,2,0]]","[18,15]","[[-0.25,-2,0],[0.25,-2,0]]",[3]
RSM1_67,2,"[10,2]","[[-1,0,0],[1,0,0]]","[10,10]","[[-2.25,2,0],[-1.75,2,0]]","[10,2]","[[1.75,-2,0],[2.25,-2,0]]",[1]
RSM1_68,2,"[9,5]","[[-1,0,0],[1,0,0]]","[9,5]","[[-2.25,-2,0],[-1.75,-2,0]]","[5,9]","[[1.75,2,0],[2.25,2,0]]",[2]
RSM1_69,2,"[19,13]","[[-1,0,0],[1,0,0]]","[19,19]","[[1.75,0,0],[2.25,0,0]]","[19,13]","[[-2.25,0,0],[-1.75,0,0]]",[1]
RSM1_70,2,"[1,19]","[[-1,0,0],[1,0,0]]","[1,1]","[[-0.25,-2,0],[0.25,-2,0]]","[19,1]","[[-0.25,2,0],[0.25,2,0]]",[1]
RSM1_71,2,"[17,18]","[[-1,0,0],[1,0,0]]","[17,18]","[[1.75,-2,0],[2.25,-2,0]]","[17,17]","[[-2.25,2,0],[-1.75,2,0]]",[2]
RSM1_72,2,"[2,0]","[[-1,0,0],[1,0,0]]","[0,2]","[[1.75,2,0],[2.25,2,0]]","[2,0]","[[-2.25,-2,0],[-1.75,-2,0]]",[3]
