TrialID,BlockCount,SampleOnStimIndices,SampleOnStimLocations,TargetOnStimIndices,TargetOnStimLocations
WMDemo23,1,"[19]","[[0,0,0]]","[22,14,21]","[[-2,-1,0],[-3,-1,0],[-3,1,0]]"
WMDemo24,1,"[5]","[[0,0,0]]","[19,0,11]","[[2,0,0],[3,0,0],[1,1,0]]"
WMDemo25,1,"[17]","[[0,0,0]]","[9,23,13]","[[-2,1,0],[0,1,0],[-4,0,0]]"
WMDemo26,1,"[11]","[[0,0,0]]","[5,9,4]","[[2,-1,0],[-2,2,0],[0,0,0]]"
WMDemo27,1,"[14]","[[0,0,0]]","[5,7,21]","[[-2,0,0],[4,-2,0],[4,-1,0]]"
WMDemo28,1,"[6]","[[0,0,0]]","[10,22,13]","[[3,1,0],[1,-1,0],[-1,-1,0]]"
WMDemo29,1,"[17]","[[0,0,0]]","[17,8,9]","[[-1,-2,0],[-1,0,0],[3,-2,0]]"
WMDemo30,1,"[16]","[[0,0,0]]","[4,2,20]","[[3,-1,0],[-4,1,0],[-2,2,0]]"
WMDemo31,1,"[23]","[[0,0,0]]","[7,4,10]","[[-1,0,0],[2,2,0],[2,1,0]]"
WMDemo32,1,"[13]","[[0,0,0]]","[18,1,16]","[[3,2,0],[-1,-1,0],[-2,1,0]]"
WMDemo33,1,"[2]","[[0,0,0]]","[9,0,15]","[[0,-1,0],[-3,0,0],[1,0,0]]"
WMDemo34,1,"[21]","[[0,0,0]]","[8,19,11]","[[4,0,0],[3,0,0],[-3,0,0]]"
WMDemo35,1,"[19]","[[0,0,0]]","[0,10,6]","[[0,1,0],[0,1,0],[0,-1,0]]"
WMDemo36,1,"[6]","[[0,0,0]]","[22,23,20]","[[-4,-2,0],[-2,-2,0],[-4,-1,0]]"
WMDemo37,1,"[18]","[[0,0,0]]","[16,4,21]","[[0,0,0],[3,-1,0],[0,-2,0]]"
WMDemo38,1,"[6]","[[0,0,0]]","[21,11,0]","[[-4,1,0],[1,0,0],[3,2,0]]"
WMDemo39,1,"[0]","[[0,0,0]]","[22,23,2]","[[1,2,0],[-1,1,0],[-1,1,0]]"
WMDemo40,1,"[8]","[[0,0,0]]","[11,12,9]","[[-3,-1,0],[-4,2,0],[3,1,0]]"
WMDemo41,1,"[1]","[[0,0,0]]","[9,5,16]","[[1,0,0],[2,-2,0],[-2,0,0]]"
WMDemo42,1,"[5]","[[0,0,0]]","[18,10,15]","[[-3,1,0],[-1,-1,0],[2,0,0]]"
WMDemo43,1,"[20]","[[0,0,0]]","[21,7,22]","[[1,-1,0],[-3,0,0],[-3,-1,0]]"
WMDemo44,1,"[1]","[[0,0,0]]","[21,2,19]","[[-2,0,0],[3,1,0],[1,-1,0]]"
WMDemo45,1,"[11]","[[0,0,0]]","[17,3,23]","[[2,1,0],[0,2,0],[-3,-2,0]]"
WMDemo46,1,"[4]","[[0,0,0]]","[0,10,14]","[[-2,-2,0],[-2,-1,0],[0,2,0]]"
WMDemo47,1,"[10]","[[0,0,0]]","[12,16,23]","[[2,-1,0],[3,0,0],[4,1,0]]"
WMDemo48,1,"[8]","[[0,0,0]]","[8,13,11]","[[-2,0,0],[1,0,0],[-1,1,0]]"
WMDemo49,2,"[9]","[[0,0,0]]","[22,10,23]","[[2,2,0],[-1,1,0],[3,0,0]]"
WMDemo50,2,"[17]","[[0,0,0]]","[0,13,7]","[[-1,-1,0],[-4,-2,0],[-1,0,0]]"
WMDemo51,2,"[9]","[[0,0,0]]","[1,16,19]","[[3,0,0],[2,-1,0],[2,-1,0]]"
WMDemo52,2,"[10]","[[0,0,0]]","[5,13,2]","[[-1,1,0],[-1,0,0],[-2,-1,0]]"
WMDemo53,2,"[15]","[[0,0,0]]","[0,1,21]","[[3,-2,0],[-3,1,0],[1,-2,0]]"
WMDemo54,2,"[7]","[[0,0,0]]","[17,23,20]","[[-1,-1,0],[3,1,0],[-3,2,0]]"
WMDemo55,2,"[3]","[[0,0,0]]","[13,0,2]","[[3,1,0],[0,-2,0],[1,1,0]]"
WMDemo56,2,"[16]","[[0,0,0]]","[5,7,8]","[[0,2,0],[-2,-1,0],[-4,0,0]]"
WMDemo57,2,"[4]","[[0,0,0]]","[15,14,2]","[[4,-1,0],[3,0,0],[0,0,0]]"
WMDemo58,2,"[10]","[[0,0,0]]","[3,6,12]","[[0,0,0],[1,1,0],[4,-1,0]]"
WMDemo59,2,"[3]","[[0,0,0]]","[10,18,5]","[[-4,1,0],[-2,2,0],[-1,-1,0]]"
WMDemo60,2,"[4]","[[0,0,0]]","[15,8,9]","[[0,-1,0],[-4,-1,0],[3,-2,0]]"
WMDemo61,2,"[3]","[[0,0,0]]","[9,8,0]","[[-3,0,0],[2,-1,0],[-2,2,0]]"
WMDemo62,2,"[11]","[[0,0,0]]","[21,1,19]","[[1,1,0],[-1,0,0],[2,1,0]]"
WMDemo63,2,"[14]","[[0,0,0]]","[5,23,6]","[[-3,-2,0],[-3,1,0],[-2,1,0]]"
WMDemo64,2,"[15]","[[0,0,0]]","[23,17,19]","[[1,-1,0],[2,-2,0],[1,0,0]]"
WMDemo65,2,"[21]","[[0,0,0]]","[7,17,14]","[[-3,0,0],[0,-1,0],[-3,0,0]]"
WMDemo66,2,"[12]","[[0,0,0]]","[10,13,11]","[[1,2,0],[-2,0,0],[0,-1,0]]"
WMDemo67,2,"[23]","[[0,0,0]]","[2,22,21]","[[-2,-1,0],[3,1,0],[-4,-1,0]]"
WMDemo68,2,"[12]","[[0,0,0]]","[22,20,16]","[[2,0,0],[1,1,0],[0,-2,0]]"
WMDemo69,2,"[16]","[[0,0,0]]","[18,22,11]","[[-2,1,0],[-2,-2,0],[3,2,0]]"
WMDemo70,2,"[22]","[[0,0,0]]","[5,6,3]","[[2,-2,0],[4,-1,0],[-1,1,0]]"
WMDemo71,2,"[8]","[[0,0,0]]","[13,12,5]","[[-2,-1,0],[2,0,0],[2,1,0]]"
WMDemo72,2,"[20]","[[0,0,0]]","[3,9,21]","[[3,1,0],[-1,1,0],[-2,0,0]]"
WMDemo73,2,"[12]","[[0,0,0]]","[7,21,2]","[[-1,2,0],[-3,2,0],[2,0,0]]"
WMDemo74,2,"[13]","[[0,0,0]]","[12,5,0]","[[3,-1,0],[2,-1,0],[-3,-1,0]]"
WMDemo75,2,"[19]","[[0,0,0]]","[3,2,5]","[[-1,0,0],[0,-1,0],[1,-1,0]]"
WMDemo76,2,"[18]","[[0,0,0]]","[8,5,20]","[[3,1,0],[-2,0,0],[-3,-2,0]]"
WMDemo77,2,"[5]","[[0,0,0]]","[6,23,9]","[[-1,-2,0],[3,1,0],[0,2,0]]"
WMDemo78,2,"[5]","[[0,0,0]]","[15,9,5]","[[4,0,0],[1,2,0],[4,1,0]]"
WMDemo79,2,"[4]","[[0,0,0]]","[18,14,9]","[[0,1,0],[-2,-1,0],[-1,1,0]]"
WMDemo80,2,"[18]","[[0,0,0]]","[8,1,12]","[[4,2,0],[4,0,0],[3,0,0]]"
WMDemo81,2,"[15]","[[0,0,0]]","[7,9,21]","[[0,-1,0],[1,1,0],[-1,0,0]]"
WMDemo82,2,"[16]","[[0,0,0]]","[5,10,20]","[[-4,0,0],[-1,1,0],[2,-1,0]]"
WMDemo83,2,"[11]","[[0,0,0]]","[14,19,1]","[[1,2,0],[-3,-2,0],[-2,-1,0]]"
WMDemo84,2,"[1]","[[0,0,0]]","[15,16,14]","[[-3,-1,0],[2,-1,0],[1,-2,0]]"
WMDemo85,2,"[9]","[[0,0,0]]","[11,5,20]","[[1,0,0],[0,0,0],[-3,2,0]]"
WMDemo86,2,"[0]","[[0,0,0]]","[18,1,19]","[[-3,1,0],[-3,1,0],[1,1,0]]"
WMDemo87,2,"[19]","[[0,0,0]]","[16,0,3]","[[1,-2,0],[3,2,0],[-4,1,0]]"
WMDemo88,2,"[6]","[[0,0,0]]","[6,13,9]","[[-3,-1,0],[1,-1,0],[0,0,0]]"
WMDemo89,2,"[2]","[[0,0,0]]","[8,12,19]","[[2,1,0],[-2,-1,0],[3,0,0]]"
WMDemo90,2,"[13]","[[0,0,0]]","[7,12,8]","[[-2,2,0],[4,0,0],[-1,-1,0]]"
WMDemo91,2,"[20]","[[0,0,0]]","[3,23,5]","[[2,-1,0],[1,1,0],[3,-1,0]]"
WMDemo92,2,"[23]","[[0,0,0]]","[5,16,13]","[[-2,0,0],[-1,2,0],[-2,-2,0]]"
WMDemo93,2,"[0]","[[0,0,0]]","[20,15,23]","[[2,1,0],[-3,-1,0],[2,2,0]]"
WMDemo94,2,"[21]","[[0,0,0]]","[23,18,13]","[[-2,-2,0],[2,0,0],[-2,1,0]]"
WMDemo95,2,"[15]","[[0,0,0]]","[12,8,20]","[[3,0,0],[0,0,0],[1,1,0]]"
WMDemo96,2,"[8]","[[0,0,0]]","[17,3,9]","[[-1,1,0],[-3,1,0],[-3,0,0]]"
